paper_id,catalyst,time_h,metric,value,unit,evidence_type,source_locator,source_identifier,notes
P2022_JIN,Ni/Al2O3,0,CH4_conversion,14.2,percent,source_observed_author_text,"author manuscript narrative accompanying Fig. 8","https://www.osti.gov/servlets/purl/1960732","Start of the 100-h 600 C DRM test; author text reports deactivation from 14.2% to 5.8%."
P2022_JIN,Ni/Al2O3,100,CH4_conversion,5.8,percent,source_observed_author_text,"author manuscript narrative accompanying Fig. 8","https://www.osti.gov/servlets/purl/1960732","End of the 100-h 600 C DRM test; 59% relative activity loss reported."
P2022_JIN,2ZrO2-Ni/Al2O3,0,CH4_conversion,14.8,percent,source_observed_author_text,"author manuscript narrative accompanying Fig. 8","https://www.osti.gov/servlets/purl/1960732","Start of the 100-h 600 C DRM test."
P2022_JIN,2ZrO2-Ni/Al2O3,100,CH4_conversion,10.5,percent,source_observed_author_text,"author manuscript narrative accompanying Fig. 8","https://www.osti.gov/servlets/purl/1960732","End of the 100-h 600 C DRM test; 30% relative activity loss reported."
P2022_JIN,5ZrO2-Ni/Al2O3,0,CH4_conversion,16.1,percent,source_observed_author_text,"author manuscript narrative accompanying Fig. 8","https://www.osti.gov/servlets/purl/1960732","Start of the 100-h 600 C DRM test."
P2022_JIN,5ZrO2-Ni/Al2O3,100,CH4_conversion,11.9,percent,source_observed_author_text,"author manuscript narrative accompanying Fig. 8","https://www.osti.gov/servlets/purl/1960732","End of the 100-h 600 C DRM test; 26% relative activity loss reported. The earlier DOE final report gives 11.4% / 29%, retained separately as a source conflict."
